'2017', '65 208 km', '1 422 cm3', 'Diesel', '35 900 PLN', '(Mazowieckie)'
'2017', '149 182 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Wielkopolskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '51 900 PLN', '(Mazowieckie)'
'2020', '10 km', '999 cm3', 'Benzyna', '57 800 PLN', '(Ma³opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 150 PLN', '(Dolnoœl¹skie)'
'2020', '8 km', '998 cm3', 'Benzyna', '58 990 PLN', '(Œl¹skie)'
'2017', '141 000 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Pomorskie)'
'2017', '44 000 km', '999 cm3', 'Benzyna', '21 300 PLN', '(Dolnoœl¹skie)'
'2017', '89 410 km', '999 cm3', 'Benzyna', '37 999 PLN', '(Dolnoœl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '54 900 PLN', '(Lubuskie)'
'2019', '11 200 km', '999 cm3', 'Benzyna', '30 000 PLN', '(Œl¹skie)'
'2019', '43 514 km', '999 cm3', 'Benzyna', '42 900 PLN', '(£ódzkie)'
'2018', '84 238 km', '999 cm3', 'Benzyna', '40 900 PLN', '(£ódzkie)'
'2018', '56 850 km', '999 cm3', 'Benzyna', '38 900 PLN', '(Zachodniopomorskie)'
'2018', '157 000 km', '1 000 cm3', 'Benzyna+LPG', '19 900 PLN', '(£ódzkie)'
'2018', '135 000 km', '999 cm3', 'Benzyna+LPG', '30 900 PLN', '(Ma³opolskie)'
'2017', '112 000 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Œl¹skie)'
'2017', '114 740 km', '1 400 cm3', 'Diesel', '32 900 PLN', '(Pomorskie)'
'2017', '93 248 km', '1 000 cm3', 'Benzyna', '41 800 PLN', '(Opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 990 PLN', '(Wielkopolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '53 199 PLN', '(Lubuskie)'
'2019', '38 000 km', '999 cm3', 'Benzyna+LPG', '35 900 PLN', '(Wielkopolskie)'
'2019', '3 391 km', '999 cm3', 'Benzyna', '44 900 PLN', '(Œl¹skie)'
'2019', '15 100 km', '999 cm3', 'Benzyna', '47 000 PLN', '(Mazowieckie)'
'2020', '6 km', '998 cm3', 'Benzyna', '58 100 PLN', '(Opolskie)'
'2019', '11 km', '999 cm3', 'Benzyna', '57 990 PLN', '(Œl¹skie)'
'2021', '8 km', '999 cm3', 'Benzyna', '62 990 PLN', '(Warmiñsko-mazurskie)'
'2021', '8 km', '999 cm3', 'Benzyna', '62 990 PLN', '(Warmiñsko-mazurskie)'
'2017', '62 556 km', '999 cm3', 'Benzyna', '32 799 PLN', '(Mazowieckie)'
'2017', '127 000 km', '999 cm3', 'Benzyna', '26 887 PLN', '(Mazowieckie)'
'2018', '9 000 km', '999 cm3', 'Benzyna', '43 788 PLN', '(Podlaskie)'
'2017', '142 061 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Wielkopolskie)'
'2018', '51 320 km', '999 cm3', 'Benzyna', '26 400 PLN', '(Wielkopolskie)'
'2017', '170 574 km', '1 422 cm3', 'Diesel', '28 600 PLN', '(Wielkopolskie)'
'2017', '163 206 km', '1 422 cm3', 'Diesel', '30 700 PLN', '(Wielkopolskie)'
'2017', '150 102 km', '1 422 cm3', 'Diesel', '31 900 PLN', '(Wielkopolskie)'
'2017', '129 745 km', '1 422 cm3', 'Diesel', '32 800 PLN', '(Wielkopolskie)'
'2018', '15 565 km', '999 cm3', 'Benzyna', '50 900 PLN', '(Ma³opolskie)'
'2018', '46 075 km', '999 cm3', 'Benzyna', '38 900 PLN', '(Mazowieckie)'
'2020', '553 km', '999 cm3', 'Benzyna', '58 600 PLN', '(Ma³opolskie)'
'2017', '127 491 km', '999 cm3', 'Benzyna+LPG', '30 900 PLN', '(Podkarpackie)'
'2021', '8 km', '999 cm3', 'Benzyna', '63 760 PLN', '(Warmiñsko-mazurskie)'
'2020', '20 km', '999 cm3', 'Benzyna', '45 100 PLN', '(Dolnoœl¹skie)'
'2018', '63 584 km', '999 cm3', 'Benzyna', '23 400 PLN', '(£ódzkie)'
'2017', '116 000 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Mazowieckie)'
'2017', '134 000 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2017', '63 000 km', '1 422 cm3', 'Diesel', '36 900 PLN', '(Mazowieckie)'
'2017', '119 571 km', '999 cm3', 'Benzyna', '32 500 PLN', '(Wielkopolskie)'
'2018', '60 599 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Mazowieckie)'
'2017', '156 060 km', '1 422 cm3', 'Diesel', '27 300 PLN', '(Mazowieckie)'
'2017', '165 678 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2017', '85 100 km', '999 cm3', 'Benzyna', '39 900 PLN', '(Œl¹skie)'
'2017', '168 609 km', '1 422 cm3', 'Diesel', '30 600 PLN', '(Mazowieckie)'
'2018', '69 256 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Wielkopolskie)'
'2018', '98 620 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Wielkopolskie)'
'2017', '53 000 km', '1 000 cm3', 'Benzyna', '32 900 PLN', '(Mazowieckie)'
'2017', '164 224 km', '1 422 cm3', 'Diesel', '29 900 PLN', '(Mazowieckie)'
'2017', '57 244 km', '1 200 cm3', 'Benzyna', '40 400 PLN', '(Opolskie)'
'2018', '139 737 km', '999 cm3', 'Benzyna', '30 100 PLN', '(Dolnoœl¹skie)'
'2017', '132 324 km', '1 422 cm3', 'Diesel', '29 000 PLN', '(Dolnoœl¹skie)'
'2017', '105 877 km', '999 cm3', 'Benzyna', '30 002 PLN', '(Dolnoœl¹skie)'
'2019', '24 584 km', '1 000 cm3', 'Benzyna', '49 900 PLN', '(Opolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '63 900 PLN', '(Mazowieckie)'
'2019', '25 000 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(Pomorskie)'
'2019', '21 900 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(Pomorskie)'
'2018', '98 254 km', '1 422 cm3', 'Diesel', '39 900 PLN', '(Lubuskie)'
'2017', '139 000 km', '999 cm3', 'Benzyna', '25 900 PLN', '(Mazowieckie)'
'2017', '87 375 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Lubuskie)'
'2017', '128 000 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Pomorskie)'
'2019', '22 200 km', '999 cm3', 'Benzyna', '50 900 PLN', '(Œl¹skie)'
'2018', '17 000 km', '999 cm3', 'Benzyna+LPG', '35 500 PLN', '(Podkarpackie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 900 PLN', '(Dolnoœl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '67 100 PLN', '(Dolnoœl¹skie)'
'2017', '37 300 km', '999 cm3', 'Benzyna', '27 900 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '65 500 PLN', '(Dolnoœl¹skie)'
'2017', '169 530 km', '1 197 cm3', 'Benzyna', '23 000 PLN', '(Wielkopolskie)'
'2020', '3 719 km', '999 cm3', 'Benzyna', '64 990 PLN', '(Mazowieckie)'
'2017', '116 000 km', '999 cm3', 'Benzyna', '28 900 PLN', '(Mazowieckie)'
'2017', '74 281 km', '1 000 cm3', 'Benzyna', '42 500 PLN', '(Dolnoœl¹skie)'
'2020', '5 km', '999 cm3', 'Benzyna', '57 850 PLN', '(Lubuskie)'
'2019', '35 770 km', '999 cm3', 'Benzyna', '42 900 PLN', '(Pomorskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '74 000 PLN', '(Warmiñsko-mazurskie)'
'2017', '112 300 km', '999 cm3', 'Benzyna+LPG', '17 900 PLN', '(Œwiêtokrzyskie)'
'2017', '127 000 km', '999 cm3', 'Benzyna', '31 900 PLN', '(Dolnoœl¹skie)'
'2019', '39 900 km', '999 cm3', 'Benzyna', '47 300 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '58 000 PLN', '(Lubuskie)'
'2019', '55 410 km', '999 cm3', 'Benzyna', '47 900 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '62 000 PLN', '(Pomorskie)'
'2017', '192 000 km', '999 cm3', 'Benzyna+LPG', '19 999 PLN', '(Mazowieckie)'
'2017', '139 315 km', '999 cm3', 'Benzyna', '28 000 PLN', '(Œl¹skie)'
'2019', '50 085 km', '999 cm3', 'Benzyna', '43 900 PLN', '(Mazowieckie)'
'2019', '61 742 km', '999 cm3', 'Benzyna+LPG', '32 900 PLN', '(Wielkopolskie)'
'2017', '114 502 km', '999 cm3', 'Benzyna', '30 800 PLN', '(Lubelskie)'
'2017', '96 000 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Zachodniopomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '60 350 PLN', '(Lubuskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '62 000 PLN', '(Pomorskie)'
'2020', '8 km', '999 cm3', 'Benzyna', '52 950 PLN', '(Warmiñsko-mazurskie)'
'2017', '138 973 km', '999 cm3', 'Benzyna+LPG', '29 900 PLN', '(Wielkopolskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '59 400 PLN', '(Œl¹skie)'
'2019', '9 815 km', '999 cm3', 'Benzyna', '60 000 PLN', '(Œl¹skie)'
'2019', '12 822 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Œl¹skie)'
'2017', '134 000 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '64 450 PLN', '(£ódzkie)'
'2017', '166 784 km', '999 cm3', 'Benzyna+LPG', '27 900 PLN', '(Wielkopolskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '53 990 PLN', '(Lubuskie)'
'2020', '9 700 km', '999 cm3', 'Benzyna', '58 900 PLN', '(Pomorskie)'
'2017', '154 000 km', '999 cm3', 'Benzyna+LPG', '28 782 PLN', '(Lubelskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 200 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 700 PLN', '(£ódzkie)'
'2017', '132 586 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Podkarpackie)'
'2021', '1 km', '999 cm3', 'Benzyna', '62 800 PLN', '(Dolnoœl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '57 350 PLN', '(£ódzkie)'
'2021', '1 km', '999 cm3', 'Benzyna', '65 150 PLN', '(Dolnoœl¹skie)'
'2021', '1 km', '999 cm3', 'Benzyna', '66 750 PLN', '(Dolnoœl¹skie)'
'2021', '1 km', '999 cm3', 'Benzyna', '66 100 PLN', '(Dolnoœl¹skie)'
'2017', '211 000 km', '999 cm3', 'Benzyna+LPG', '22 900 PLN', '(Wielkopolskie)'
'2019', '86 630 km', '999 cm3', 'Benzyna+LPG', '39 999 PLN', '(Œl¹skie)'
'2020', '7 km', '999 cm3', 'Benzyna', '64 550 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '65 250 PLN', '(£ódzkie)'
'2017', '72 000 km', '1 422 cm3', 'Diesel', '36 900 PLN', '(Lubelskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '54 200 PLN', '(£ódzkie)'
'2017', '73 377 km', '999 cm3', 'Benzyna+LPG', '39 900 PLN', '(Pomorskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '55 500 PLN', '(Ma³opolskie)'
'2019', '38 134 km', '999 cm3', 'Benzyna+LPG', '43 900 PLN', '(Kujawsko-pomorskie)'
'2019', '136 705 km', '999 cm3', 'Benzyna+LPG', '32 600 PLN', '(Wielkopolskie)'
'2017', '170 000 km', '999 cm3', 'Benzyna+LPG', '24 800 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '54 900 PLN', '(Ma³opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '54 200 PLN', '(£ódzkie)'
'2017', '123 000 km', '1 422 cm3', 'Diesel', '28 900 PLN', '(Mazowieckie)'
'2017', '21 600 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Dolnoœl¹skie)'
'2018', '57 210 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Pomorskie)'
'2018', '87 000 km', '999 cm3', 'Benzyna+LPG', '33 900 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '62 650 PLN', '(Kujawsko-pomorskie)'
'2017', '49 962 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Dolnoœl¹skie)'
'2017', '128 596 km', '1 000 cm3', 'Benzyna', '35 700 PLN', '(Opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '55 300 PLN', '(Warmiñsko-mazurskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '58 850 PLN', '(Dolnoœl¹skie)'
'2019', '22 000 km', '1 000 cm3', 'Benzyna', '38 900 PLN', '(Wielkopolskie)'
'2018', '4 965 km', '999 cm3', 'Benzyna', '41 500 PLN', '(Mazowieckie)'
'2017', '161 655 km', '999 cm3', 'Benzyna+LPG', '26 000 PLN', '(Mazowieckie)'
'2018', '68 567 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Mazowieckie)'
'2018', '143 496 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Mazowieckie)'
'2018', '31 793 km', '999 cm3', 'Benzyna', '43 500 PLN', '(Opolskie)'
'2019', '4 200 km', '1 000 cm3', 'Benzyna', '46 666 PLN', '(Œl¹skie)'
'2019', '62 200 km', '1 000 cm3', 'Benzyna+LPG', '45 986 PLN', '(Ma³opolskie)'
'2020', '4 km', '999 cm3', 'Benzyna', '57 700 PLN', '(Podkarpackie)'
'2020', '4 km', '999 cm3', 'Benzyna', '57 700 PLN', '(Podkarpackie)'
'2020', '6 km', '999 cm3', 'Benzyna', '49 800 PLN', '(Podkarpackie)'
'2020', '6 km', '999 cm3', 'Benzyna', '61 800 PLN', '(Podkarpackie)'
'2020', '7 km', '999 cm3', 'Benzyna', '61 900 PLN', '(Lubelskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '61 350 PLN', '(Lubelskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '57 950 PLN', '(Lubelskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Lubelskie)'
'2017', '119 037 km', '999 cm3', 'Benzyna+LPG', '33 500 PLN', '(Wielkopolskie)'
'2017', '113 000 km', '1 000 cm3', 'Benzyna', '27 900 PLN', '(Mazowieckie)'
'2017', '215 000 km', '999 cm3', 'Benzyna+LPG', '21 000 PLN', '(£ódzkie)'
'2019', '53 640 km', '999 cm3', 'Benzyna', '48 900 PLN', '(Zachodniopomorskie)'
'2017', '111 000 km', '999 cm3', 'Benzyna', '31 500 PLN', '(£ódzkie)'
'2020', '10 km', '999 cm3', 'Benzyna', '57 299 PLN', '(Mazowieckie)'
'2017', '36 100 km', '999 cm3', 'Benzyna', '49 900 PLN', '(Œl¹skie)'
'2017', '52 009 km', '999 cm3', 'Benzyna+LPG', '34 500 PLN', '(Ma³opolskie)'
'2019', '4 750 km', '999 cm3', 'Benzyna', '52 500 PLN', '(Podlaskie)'
'2019', '30 854 km', '999 cm3', 'Benzyna', '46 900 PLN', '(Ma³opolskie)'
'2019', '46 800 km', '1 000 cm3', 'Benzyna', '46 000 PLN', '(Œl¹skie)'
'2017', '36 228 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Œl¹skie)'
'2019', '25 000 km', '999 cm3', 'Benzyna', '49 999 PLN', '(Œl¹skie)'
'2020', '8 km', '998 cm3', 'Benzyna', '59 900 PLN', '(Opolskie)'
'2017', '62 302 km', '1 422 cm3', 'Diesel', '33 000 PLN', '(Mazowieckie)'
'2019', '77 961 km', '999 cm3', 'Benzyna+LPG', '38 600 PLN', '(Ma³opolskie)'
'2017', '100 800 km', '999 cm3', 'Benzyna', '32 400 PLN', '(Lubelskie)'
'2017', '25 000 km', '999 cm3', 'Benzyna', '32 000 PLN', '(Warmiñsko-mazurskie)'
'2019', '51 000 km', '999 cm3', 'Benzyna+LPG', '35 900 PLN', '(Œwiêtokrzyskie)'
'2018', '47 900 km', '999 cm3', 'Benzyna+LPG', '38 120 PLN', '(Wielkopolskie)'
'2020', '215 km', '999 cm3', 'Benzyna', '57 500 PLN', '(Mazowieckie)'
'2019', '34 000 km', '999 cm3', 'Benzyna', '45 990 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '59 990 PLN', '(Podkarpackie)'
'2018', '40 845 km', '999 cm3', 'Benzyna+LPG', '46 000 PLN', '(£ódzkie)'
'2019', '45 969 km', '999 cm3', 'Benzyna', '45 900 PLN', '(Pomorskie)'
'2018', '149 174 km', '1 400 cm3', 'Diesel', '35 900 PLN', '(Mazowieckie)'
'2018', '57 000 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Mazowieckie)'
'2018', '87 000 km', '999 cm3', 'Benzyna', '35 900 PLN', '(Mazowieckie)'
'2017', '142 000 km', '1 422 cm3', 'Diesel', '29 500 PLN', '(Dolnoœl¹skie)'
'2020', '10 km', '999 cm3', 'Benzyna', '51 900 PLN', '(Œl¹skie)'
'2017', '84 761 km', '999 cm3', 'Benzyna', '31 900 PLN', '(Œl¹skie)'
'2017', '59 867 km', '999 cm3', 'Benzyna+LPG', '40 500 PLN', '(£ódzkie)'
'2019', '33 000 km', '999 cm3', 'Benzyna', '38 806 PLN', '(Podlaskie)'
'2020', '1 000 cm3', 'Benzyna', '60 900 PLN', '(Dolnoœl¹skie)'
'2020', '1 000 cm3', 'Benzyna', '53 500 PLN', '(Dolnoœl¹skie)'
'2017', '148 900 km', '1 422 cm3', 'Diesel', '26 076 PLN', '(Mazowieckie)'
'2019', '18 900 km', '999 cm3', 'Benzyna', '36 900 PLN', '(Wielkopolskie)'
'2017', '54 338 km', '999 cm3', 'Benzyna', '19 999 PLN', '(Œwiêtokrzyskie)'
'2019', '32 000 km', '999 cm3', 'Benzyna', '39 000 PLN', '(Mazowieckie)'
'2018', '195 997 km', '999 cm3', 'Benzyna+LPG', '24 900 PLN', '(Œl¹skie)'
'2018', '88 000 km', '999 cm3', 'Benzyna+LPG', '38 999 PLN', '(Œl¹skie)'
'2019', '128 326 km', '999 cm3', 'Benzyna+LPG', '31 000 PLN', '(Wielkopolskie)'
'2017', '101 104 km', '999 cm3', 'Benzyna+LPG', '26 900 PLN', '(Wielkopolskie)'
'2017', '109 120 km', '999 cm3', 'Benzyna+LPG', '26 900 PLN', '(Wielkopolskie)'
'2019', '19 000 km', '999 cm3', 'Benzyna', '11 900 PLN', '(Œl¹skie)'
'2018', '21 500 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Œl¹skie)'
'2020', '9 km', '999 cm3', 'Benzyna', '52 000 PLN', '(Pomorskie)'
'2017', '190 000 km', '999 cm3', 'Benzyna+LPG', '24 900 PLN', '(£ódzkie)'
'2020', '10 km', '999 cm3', 'Benzyna', '57 700 PLN', '(Lubelskie)'
'2018', '47 449 km', '999 cm3', 'Benzyna', '22 900 PLN', '(Wielkopolskie)'
'2018', '108 150 km', '999 cm3', 'Benzyna+LPG', '37 500 PLN', '(Pomorskie)'
'2018', '11 000 km', '999 cm3', 'Benzyna', '54 735 PLN', '(Mazowieckie)'
'2019', '1 700 km', '999 cm3', 'Benzyna', '33 900 PLN', '(Mazowieckie)'
'2017', '132 000 km', '999 cm3', 'Benzyna+LPG', '14 900 PLN', '(£ódzkie)'
'2017', '96 500 km', '999 cm3', 'Benzyna+LPG', '29 999 PLN', '(Lubelskie)'
'2017', '64 500 km', '999 cm3', 'Benzyna+LPG', '27 500 PLN', '(£ódzkie)'
'2018', '91 000 km', 'Diesel', '34 900 PLN', '(Zachodniopomorskie)'
'2018', '41 000 km', '999 cm3', 'Benzyna', '35 900 PLN', '(£ódzkie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2019', '43 500 km', '999 cm3', 'Benzyna+LPG', '41 900 PLN', '(Lubelskie)'
'2018', '65 000 km', '999 cm3', 'Benzyna', '33 990 PLN', '(Œl¹skie)'
'2018', '48 863 km', '999 cm3', 'Benzyna', '28 500 PLN', '(Opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2019', '32 000 km', '999 cm3', 'Benzyna', '8 900 PLN', '(Ma³opolskie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2020', '7 km', '999 cm3', 'Benzyna', '59 500 PLN', '(Mazowieckie)'
'2020', '5 km', '999 cm3', 'Benzyna', '63 500 PLN', '(Podlaskie)'
'2017', '110 989 km', '999 cm3', 'Benzyna', '29 900 PLN', '(Kujawsko-pomorskie)'
'2021', '1 km', '999 cm3', 'Benzyna', '69 400 PLN', '(Mazowieckie)'
'2017', '104 234 km', '1 197 cm3', 'Benzyna', '29 900 PLN', '(Œl¹skie)'
'2017', '62 500 km', '1 000 cm3', 'Benzyna+LPG', '28 900 PLN', '(Œl¹skie)'
'2017', '166 000 km', '1 422 cm3', 'Diesel', '25 707 PLN', '(Mazowieckie)'
'2019', '74 000 km', '999 cm3', 'Benzyna+LPG', '23 900 PLN', '(£ódzkie)'
'2017', '180 000 km', '999 cm3', 'Benzyna', '23 247 PLN', '(Mazowieckie)'
'2017', '93 000 km', '999 cm3', 'Benzyna+LPG', '32 500 PLN', '(Mazowieckie)'
'2017', '49 000 km', '999 cm3', 'Benzyna', '30 900 PLN', '(Œl¹skie)'
'2019', '21 323 km', '999 cm3', 'Benzyna', '43 500 PLN', '(Kujawsko-pomorskie)'
'2017', '27 000 km', '1 000 cm3', 'Benzyna', '24 500 PLN', '(Wielkopolskie)'
'2019', '24 956 km', '999 cm3', 'Benzyna', '49 599 PLN', '(Mazowieckie)'
'2017', '58 000 km', '999 cm3', 'Benzyna', '32 500 PLN', '(Mazowieckie)'
'2017', '74 000 km', '999 cm3', 'Benzyna', '32 900 PLN', '(Mazowieckie)'
'2021', '7 km', '998 cm3', 'Benzyna', '62 850 PLN', '(Lubelskie)'
'2020', '3 500 km', '999 cm3', 'Benzyna', '53 900 PLN', '(£ódzkie)'
'2019', '37 658 km', '999 cm3', 'Benzyna', '45 900 PLN', '(Mazowieckie)'
'2017', '59 000 km', '1 197 cm3', 'Benzyna', '33 995 PLN', '(Œl¹skie)'
'2017', '94 650 km', '999 cm3', 'Benzyna+LPG', '31 900 PLN', '(Ma³opolskie)'
'2019', '12 900 km', '999 cm3', 'Benzyna+LPG', '45 999 PLN', '(Lubelskie)'
'2018', '44 530 km', '1 422 cm3', 'Diesel', '34 900 PLN', '(Zachodniopomorskie)'
'2020', '1 km', '998 cm3', 'Benzyna', '54 500 PLN', '(Œl¹skie)'
'2017', '165 178 km', '999 cm3', 'Benzyna+LPG', '25 707 PLN', '(Mazowieckie)'
'2017', '102 044 km', '999 cm3', 'Benzyna+LPG', '26 900 PLN', '(Wielkopolskie)'
'2017', '127 355 km', '999 cm3', 'Benzyna+LPG', '26 500 PLN', '(Wielkopolskie)'
'2019', '5 500 km', '999 cm3', 'Benzyna', '37 000 PLN', '(Ma³opolskie)'
'2017', '199 000 km', '999 cm3', 'Benzyna+LPG', '22 500 PLN', '(Ma³opolskie)'
'2017', '170 000 km', '999 cm3', 'Benzyna', '26 999 PLN', '(Mazowieckie)'
'2018', '17 000 km', '999 cm3', 'Benzyna', '37 000 PLN', '(Kujawsko-pomorskie)'
'2017', '183 156 km', '999 cm3', 'Benzyna', '13 300 PLN', '(Œl¹skie)'
'2020', '3 490 km', '999 cm3', 'Benzyna', '61 900 PLN', '(Œl¹skie)'
'2020', '8 km', '999 cm3', 'Benzyna', '59 900 PLN', '(Wielkopolskie)'
'2018', '100 000 km', '999 cm3', 'Benzyna+LPG', '36 900 PLN', '(£ódzkie)'
'2020', '5 km', '999 cm3', 'Benzyna', '51 650 PLN', '(Podkarpackie)'
'2020', '5 km', '998 cm3', 'Benzyna', '69 300 PLN', '(Podkarpackie)'
'2018', '14 500 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Wielkopolskie)'
'2021', '5 km', '999 cm3', 'Benzyna', '55 650 PLN', '(Podlaskie)'
'2017', '168 200 km', '999 cm3', 'Benzyna', '24 900 PLN', '(Opolskie)'
'2018', '89 000 km', '999 cm3', 'Benzyna+LPG', '37 900 PLN', '(Œl¹skie)'
'2019', '82 565 km', '999 cm3', 'Benzyna+LPG', '34 500 PLN', '(Dolnoœl¹skie)'
'2018', '20 500 km', '999 cm3', 'Benzyna', '34 900 PLN', '(Œl¹skie)'
'2017', '75 000 km', '999 cm3', 'Benzyna+LPG', '27 900 PLN', '(Œl¹skie)'
'2017', '185 000 km', '1 400 cm3', 'Diesel', '25 325 PLN', '(Ma³opolskie)'
'2018', '12 000 km', '999 cm3', 'Benzyna', '37 900 PLN', '(Ma³opolskie)'
'2019', '47 000 km', '999 cm3', 'Benzyna+LPG', '34 900 PLN', '(Œl¹skie)'
'2018', '17 000 km', '999 cm3', 'Benzyna', '43 500 PLN', '(Wielkopolskie)'
'2020', '5 km', '999 cm3', 'Benzyna', '56 650 PLN', '(Podlaskie)'
'2019', '48 711 km', '999 cm3', 'Benzyna', '46 900 PLN', '(Pomorskie)'
'2019', '57 874 km', '999 cm3', 'Benzyna', '46 900 PLN', '(Pomorskie)'
'2020', '10 km', '999 cm3', 'Benzyna', '50 600 PLN', '(Kujawsko-pomorskie)'
'2017', '146 000 km', '999 cm3', 'Benzyna+LPG', '21 900 PLN', '(Ma³opolskie)'
'2017', '132 000 km', '999 cm3', 'Benzyna', '26 499 PLN', '(Podkarpackie)'
'2019', '65 055 km', '999 cm3', 'Benzyna+LPG', '35 900 PLN', '(Podkarpackie)'
'2017', '111 534 km', '999 cm3', 'Benzyna', '26 500 PLN', '(Zachodniopomorskie)'
'2020', '1 km', '999 cm3', 'Benzyna', '52 100 PLN', '(Mazowieckie)'
'2020', '13 000 km', '999 cm3', 'Benzyna+LPG', '38 800 PLN', '(Ma³opolskie)'
'2017', '35 000 km', '1 197 cm3', 'Benzyna', '38 900 PLN', '(Œl¹skie)'
'2020', '1 km', '999 cm3', 'Benzyna', '55 490 PLN', '(Mazowieckie)'
'2020', '1 km', '999 cm3', 'Benzyna', '58 500 PLN', '(Mazowieckie)'
